"PGS","PHENO","GEN_MOD","VAR","BETA","SE"
"AFB_Repo","BG.All",3,"gm",-0.0173084727160811,0.0330573272816487
"AFB_Repo","HDL",1,"proband",0.0362632985190227,0.024007031113404
"AFB_Repo","HDL",2,"proband",0.0258836478221477,0.0309951455869079
"AFB_Repo","HDL",2,"paternal",0.0478502112617684,0.0313020874892638
"AFB_Repo","HDL",2,"maternal",-0.0229859695620765,0.0311254785423352
"AFB_Repo","HDL",3,"proband",0.0271506569023465,0.0310180777155202
"AFB_Repo","HDL",3,"paternal",0.0148997217715596,0.0447232178942655
"AFB_Repo","HDL",3,"maternal",-0.010532226676404,0.0434912669625339
"AFB_Repo","HDL",3,"gp",0.0409430241040812,0.0375991732396206
"AFB_Repo","HDL",3,"gm",-0.0228240965327165,0.0382912427067431
"AFB_Repo","LDL",1,"proband",-0.0501539362251722,0.0241101709360782
"AFB_Repo","LDL",2,"proband",-0.0492331804406517,0.0310579911627157
"AFB_Repo","LDL",2,"paternal",-0.00395668395445101,0.0316887551984684
"AFB_Repo","LDL",2,"maternal",0.0017983033263969,0.0314825783510252
"AFB_Repo","LDL",3,"proband",-0.0502182001075561,0.031080950299617
"AFB_Repo","LDL",3,"paternal",0.0181026024849453,0.0455831767340935
"AFB_Repo","LDL",3,"maternal",-0.0240842860438836,0.044188197535876
"AFB_Repo","LDL",3,"gp",-0.0294732060863481,0.0384231099188039
"AFB_Repo","LDL",3,"gm",0.0378579903067236,0.038999046125886
"AFB_Repo","NonHDL",1,"proband",-0.0648501169660188,0.0239217237317038
"AFB_Repo","NonHDL",2,"proband",-0.0621532383153031,0.0314097644807511
"AFB_Repo","NonHDL",2,"paternal",-0.00282688748219094,0.0309345062193312
"AFB_Repo","NonHDL",2,"maternal",-0.00358720430491852,0.0307848838009572
"AFB_Repo","NonHDL",3,"proband",-0.0635499756185313,0.0314349519795652
"AFB_Repo","NonHDL",3,"paternal",0.0281565157865318,0.0443287540410977
"AFB_Repo","NonHDL",3,"maternal",-0.0212304871253414,0.0428896287380559
"AFB_Repo","NonHDL",3,"gp",-0.0389611599830183,0.0371746865850261
"AFB_Repo","NonHDL",3,"gm",0.0292404350837608,0.0376352571327279
"AFB_Repo","FEV1",1,"proband",0.0135193887204948,0.0241980861879229
"AFB_Repo","FEV1",2,"proband",-0.0109402524864181,0.0305384824680824
"AFB_Repo","FEV1",2,"paternal",0.0223146504980404,0.0324047487972836
"AFB_Repo","FEV1",2,"maternal",0.0441790926989929,0.032174755571461
"AFB_Repo","FEV1",3,"proband",-0.0122939789469919,0.0305323424196515
"AFB_Repo","FEV1",3,"paternal",0.0803482218316759,0.0466385298396174
"AFB_Repo","FEV1",3,"maternal",0.0933405716420621,0.045502089892424
"AFB_Repo","FEV1",3,"gp",-0.0628293403311265,0.0394538023452264
"AFB_Repo","FEV1",3,"gm",-0.050762865378002,0.0403451134795806
"AFB_UKB","HGT",1,"proband",0.0445667930365464,0.0217339876024157
"AFB_UKB","HGT",2,"proband",0.0250763948986545,0.0256558165159513
"AFB_UKB","HGT",2,"paternal",0.0137549492379377,0.0314355693276413
"AFB_UKB","HGT",2,"maternal",0.0529304069016574,0.0310110165681537
"AFB_UKB","HGT",3,"proband",0.0250799245374134,0.0256625401010167
"AFB_UKB","HGT",3,"paternal",0.0117749010225473,0.046820009899473
"AFB_UKB","HGT",3,"maternal",0.0220562399527065,0.0437916079482691
"AFB_UKB","HGT",3,"gp",-0.00356578087260163,0.0412581441308556
